state,district,population,households,literacy_rate_pct,sc_population,st_population,sub_centres,phcs,chcs,sub_divisional_hospitals,district_hospitals,institutional_delivery_pct_hmis,csection_rate_pct,institutional_births_pct,skilled_birth_attendance_pct,child_immunization_pct,sanitation_pct,drinking_water_pct,electricity_pct,health_insurance_pct,women_anaemia_pct,sub_centres_per_lakh,phcs_per_lakh,chcs_per_lakh,district_hospitals_per_lakh,sc_population_pct,st_population_pct
Manipur,Jiribam,43838.0,8355.0,63.11419316574661,7425.0,5490.0,6.0,1.0,1.0,0.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,13.68675578265432,2.2811259637757195,2.2811259637757195,0.0,16.93736028103472,12.5233815411287
Manipur,Kakching,151311.0,31414.0,64.14074323743813,39351.0,1154.0,13.0,6.0,2.0,0.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,8.591576289893002,3.965342903027539,1.3217809676758465,0.0,26.00670142950612,0.7626676183489633
Manipur,Kamjong,48181.0,9363.0,70.23100392270813,23.0,46504.0,21.0,2.0,1.0,0.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,43.58564579398518,4.151013885141445,2.0755069425707227,0.0,0.047736659679126624,96.51937485730889
Manipur,Kangpokpi,194713.0,36183.0,64.10768669785787,714.0,155471.0,35.0,6.0,1.0,0.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,17.975173717214567,3.081458351522497,0.5135763919204163,0.0,0.36669354383117714,79.84623522825903
Manipur,Noney,47356.0,8522.0,59.42224850071797,9.0,44328.0,15.0,3.0,1.0,0.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,31.674972548357122,6.334994509671425,2.1116648365571415,0.0,0.019004983529014273,93.60587887490497
Manipur,Pherzawl,40390.0,6852.0,69.80440703144343,18.0,38539.0,19.0,4.0,1.0,0.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,47.04134686803664,9.903441445902452,2.475860361475613,0.0,0.04456548650656103,95.41718247090864
Manipur,Senapati,285404.0,47411.0,49.15663410463764,286.0,264682.0,33.0,8.0,1.0,0.0,1.0,38.7,3.3,45.8,65.0,65.0,84.4,64.4,98.8,15.4,27.4,11.562556936833401,2.8030441058990063,0.3503805132373758,0.3503805132373758,0.10020882678588947,92.7394150046951
Manipur,Tamenglong,83482.0,14680.0,61.35574135741837,13.0,80526.0,15.0,3.0,0.0,0.0,1.0,64.2,6.8,57.7,69.9,67.4,77.9,51.6,93.6,16.8,27.3,17.96794518578855,3.593589037157711,0.0,1.1978630123859035,0.015572219161016747,96.45911693538727
Manipur,Tengnoupal,59340.0,12348.0,59.022581732389625,460.0,49768.0,9.0,4.0,0.0,1.0,0.0,86.8,15.1,72.9,80.0,66.6,77.9,68.6,98.6,16.1,27.3,15.166835187057634,6.740815638692283,0.0,0.0,0.7751937984496124,83.86922817660937
Manipur,Thoubal,267505.0,53953.0,63.66423057512943,1242.0,654.0,37.0,10.0,3.0,0.0,1.0,86.8,30.9,87.8,91.1,74.2,61.3,72.5,98.6,19.1,24.2,13.831517167903405,3.7382478832171366,1.1214743649651409,0.3738247883217136,0.4642903870955683,0.2444814115624007
